Presidential Electors (Vote For 1),,,,,,,,,,,,,,
,,DEM Joseph R. Biden/Kamala D. Harris,,,REP Donald J. Trump/Mike R. Pence,,,LIB Jo Jorgensen/Jeremy Spike Cohen,,,Write-in,,,
County,Registered Voters,Election Day,Absentee,Total Votes,Election Day,Absentee,Total Votes,Election Day,Absentee,Total Votes,Election Day,Absentee,Total Votes,Total
ALEPPO,1388,166,376,542,347,178,525,6,3,9,2,2,4,1080
ASPINWALL DIST 1,861,209,267,476,184,27,211,2,4,6,1,3,4,697
ASPINWALL DIST 2,572,143,186,329,110,19,129,3,1,4,1,0,1,463
ASPINWALL DIST 3,856,200,277,477,150,45,195,7,4,11,2,0,2,685
AVALON WARD 1,1108,238,287,525,211,35,246,6,8,14,2,1,3,788
AVALON WARD 2 DIST 1,717,151,192,343,142,48,190,9,5,14,3,0,3,550
AVALON WARD 2 DIST 2,487,83,146,229,88,51,139,7,1,8,0,1,1,377
AVALON WARD 3 DIST 1,320,57,93,150,81,19,100,1,3,4,1,0,1,255
AVALON WARD 3 DIST 2,454,67,144,211,96,17,113,6,4,10,3,2,5,339
AVALON WARD 3 DIST 3,507,71,161,232,83,52,135,5,1,6,0,2,2,375
BALDWIN BR DIST 1,626,103,143,246,178,55,233,4,2,6,3,0,3,488
BALDWIN BR DIST 2,1024,166,298,464,285,75,360,14,14,28,1,5,6,858
BALDWIN BR DIST 3,838,137,231,368,229,53,282,1,4,5,2,0,2,657
BALDWIN BR DIST 4,782,121,184,305,265,47,312,6,2,8,3,0,3,628
BALDWIN BR DIST 5,824,127,221,348,226,67,293,3,4,7,2,1,3,651
BALDWIN BR DIST 6,764,104,196,300,238,67,305,6,5,11,2,0,2,618
BALDWIN BR DIST 7,820,105,219,324,236,81,317,7,4,11,1,3,4,656
BALDWIN BR DIST 8,715,91,219,310,225,59,284,2,4,6,0,2,2,602
BALDWIN BR DIST 9,769,84,265,349,199,62,261,2,5,7,1,0,1,618
BALDWIN BR DIST 10,1067,144,255,399,153,59,212,6,4,10,0,1,1,622
BALDWIN BR DIST 11,1294,214,352,566,179,84,263,2,4,6,2,3,5,840
BALDWIN BR DIST 12,634,89,157,246,204,52,256,3,2,5,0,1,1,508
BALDWIN BR DIST 13,688,93,182,275,237,82,319,3,5,8,0,3,3,605
BALDWIN BR DIST 14,613,85,155,240,192,61,253,3,2,5,2,1,3,501
BALDWIN BR DIST 15,798,88,227,315,260,82,342,6,6,12,1,0,1,670
BALDWIN BR DIST 16,914,163,227,390,263,73,336,6,6,12,0,1,1,739
BALDWIN BR DIST 17,677,84,229,313,192,59,251,4,0,4,1,1,2,570
BALDWIN BR DIST 18,938,114,324,438,214,88,302,2,2,4,1,1,2,746
BALDWIN TP DIST 1,806,178,184,362,268,49,317,5,1,6,0,2,2,687
BALDWIN TP DIST 2,757,122,207,329,234,39,273,4,3,7,0,0,0,609
