2020 Unofficial General Election Results,,,,,
Chester County,,,,,
Precincts 0 of 230 Reporting,,,,,
Downloaded at 11/9/2020 10:01:57 PM,,,,,
,,,,,
,,,,,
PRESIDENTIAL ELECTORS VOTE FOR ONE (1),Precinct,DEM JOSEPH R BIDEN,REP DONALD J TRUMP,LIB JO JORGENSEN,Write-in
,100 COATESVILLE 4-1,392,86,2,1
,110 COATESVILLE 4-2,409,135,9,1
,120 COATESVILLE 5,601,66,5,3
,010 AVONDALE,250,107,6,1
,140 S COATESVILLE,564,169,7,4
,145 N COVENTRY E,585,599,12,8
,150 N COVENTRY M,624,631,22,3
,155 N COVENTRY W-1,505,525,20,2
,156 N COVENTRY W-2,641,703,18,3
,160 E COVENTRY 1,1406,1279,26,13
,165 E COVENTRY 2,595,742,22,4
,170 S COVENTRY,821,882,21,2
,175 E DOWNINGTOWN E,845,403,24,4
,180 E DOWNINGTOWN W,690,368,22,5
,014 BIRMINGHAM 1,618,449,7,5
,185 W DOWNINGTOWN N,804,396,22,11
,190 W DOWNINGTOWN S,399,210,3,4
,195 EASTTOWN 1,1034,732,22,15
,198 EASTTOWN 2,900,538,16,8
,201 EASTTOWN 3,657,384,13,5
,204 EASTTOWN 4,473,328,11,5
,207 EASTTOWN 5,550,216,7,5
,210 EASTTOWN 6,374,263,4,4
,213 EASTTOWN 7,672,244,2,5
,215 ELK,408,515,11,3
,015 BIRMINGHAM 2,1073,789,23,7
,220 ELVERSON,386,524,16,2
,225 E FALLOWFIELD E,1226,843,28,14
,230 E FALLOWFIELD W,1395,1080,29,7
,235 W FALLOWFIELD,415,774,15,1
,240 FRANKLIN,1449,1395,31,11
,243 E GOSHEN 1,802,740,14,5
,244 E GOSHEN 2,670,575,12,5
,245 E GOSHEN 3,694,553,14,10
,246 E GOSHEN 4,1149,606,30,10
,247 E GOSHEN 5,879,788,9,1
,020 E BRADFORD N-1,567,323,8,5
,248 E GOSHEN 6,953,766,11,8
,249 E GOSHEN 7,857,841,9,6
,250 E GOSHEN 8,470,364,5,1
,251 E GOSHEN 9,517,369,11,3
,255 W GOSHEN N-1,867,605,18,7
,260 W GOSHEN N-2,669,430,13,6
,261 W GOSHEN N-3,1097,893,19,9
,262 W GOSHEN N-4,976,881,14,9
,265 W GOSHEN M-1,730,419,13,5
,270 W GOSHEN M-2,825,491,17,4
,021 E BRADFORD N-2,1052,838,20,8
,275 W GOSHEN S-1,837,398,8,8
,280 W GOSHEN S-2,718,468,18,4
,285 W GOSHEN S-3,602,455,14,5
,286 W GOSHEN S-4,867,649,14,8
,290 HIGHLAND,257,403,5,3
,295 HONEY BROOK BORO,385,501,18,5
,300 HONEYBROOK TWP 1,491,920,12,6
,301 HONEYBROOK TWP 2,918,1413,23,10
,305 KENNETT SQ. N,552,238,14,0
,310 KENNETT SQ. S-1,413,185,8,5
,023 E BRADFORD S-1,1282,809,17,6
,315 KENNETT SQ. S-2,745,245,10,6
,320 KENNETT TWP-1,697,473,13,10
,325 KENNETT TWP-2,1079,693,22,9
,328 KENNETT TWP-3,580,212,6,3
,329 KENNETT TWP-4,882,677,21,4
,330 LONDON BRITAIN,1225,859,20,13
,335 LONDONDERRY,643,852,17,6
,340 LONDON GROVE CH,480,456,12,0
,345 LONDON GROVE S,2084,1704,32,15
,350 MALVERN,1451,825,18,19
,024 E BRADFORD S-2,742,694,12,11
,355 E MARLBOROUGH E,985,692,12,6
,356 E MARLBOROUGH S,871,581,15,7
,360 E MARLBOROUGH W,1210,723,20,16
,365 W MARLBOROUGH,314,193,5,0
,370 MODENA,117,51,3,1
,375 E NANTMEAL,599,580,10,6
,380 W NANTMEAL,509,821,12,3
,385 NEW GARDEN N,1178,818,24,4
,390 NEW GARDEN S-1,1132,910,16,11
,391 NEW GARDEN S-2,1172,732,14,11
,025 W BRADFORD 1,747,563,16,4
,395 NEW LONDON,1887,1876,52,16
,400 NEWLIN,558,399,15,2
,405 EAST NOTTINGHAM EAST,1046,1488,31,8
,406 EAST NOTTINGHAM WEST,897,1240,30,6
,410 W NOTTINGHAM,399,886,14,5
,415 OXFORD E,323,218,4,6
,420 OXFORD W,886,706,24,4
,425 LOWER OXFORD E,576,261,6,3
,430 LOWER OXFORD W,413,705,10,3
,435 UPPER OXFORD,508,828,12,4
,030 W BRADFORD 2,1285,912,23,11
,440 PARKESBURG N,346,229,11,2
,445 PARKESBURG S,634,580,19,4
,450 PENN,1715,1609,36,14
,453 PENNSBURY N-1,501,103,2,2
,454 PENNSBURY N-2,399,330,7,3
,456 PENNSBURY S-1,424,318,8,2
,457 PENNSBURY S-2,356,214,6,0
,461 PHOENIXVILLE N-1,524,288,8,4
,462 PHOENIXVILLE N-2,496,180,16,5
,463 PHOENIXVILLE N-3,849,358,16,3
,031 W BRADFORD 3,1022,596,16,8
,467 PHOENIXVILLE M-1,825,282,27,8
,468 PHOENIXVILLE M-2,577,196,13,2
,469 PHOENIXVILLE M-3,558,170,11,1
,472 PHOENIXVILLE E-1,531,224,17,7
,473 PHOENIXVILLE E-2,533,264,14,3
,474 PHOENIXVILLE E-3,534,245,9,2
,477 PHOENIXVILLE W-1,401,182,6,1
,478 PHOENIXVILLE W-2,647,332,22,3
,479 PHOENIXVILLE W-3,451,218,10,4
,515 E PIKELAND 1,1162,732,24,6
,032 W BRADFORD 4,1207,918,20,8
,520 E PIKELAND 2,961,709,23,5
,521 E PIKELAND 3,1132,712,27,0
,525 W PIKELAND,1602,1266,27,10
,530 POCOPSON,1400,1015,21,9
,535 SADSBURY N,671,759,17,7
,540 SADSBURY S,349,326,10,3
,545 W SADSBURY,392,758,11,3
,550 SCHUYLKILL 1,534,343,11,4
,555 SCHUYLKILL 2,504,359,14,7
,556 SCHUYLKILL 3,1370,1021,34,14
,033 W BRADFORD 5,800,681,21,6
,558 SCHUYLKILL 4,923,605,13,2
,560 SPRING CITY 1,268,203,10,2
,565 SPRING CITY 2,128,101,3,0
,570 SPRING CITY 3,278,209,9,1
,575 SPRING CITY 4,271,201,8,1
,580 THORNBURY 1,460,526,6,1
,581 THORNBURY 2,658,496,15,7
,585 TREDYFFRIN E-1,758,343,19,10
,590 TREDYFFRIN E-2,592,302,5,5
,595 TREDYFFRIN E-3,486,210,8,1
,035 E BRANDYWINE N-1,628,494,11,3
,600 TREDYFFRIN E-4,543,339,11,4
,605 TREDYFFRIN E-5,1181,505,20,3
,614 TREDYFFRIN M-1,377,166,3,5
,615 TREDYFFRIN M-2,799,424,19,3
,616 TREDYFFRIN M-3,529,327,8,2
,617 TREDYFFRIN M-4,925,448,11,5
,618 TREDYFFRIN M-5,531,285,8,7
,619 TREDYFFRIN M-6,765,387,9,6
,620 TREDYFFRIN M-7,275,130,2,1
,630 TREDYFFRIN W-1,998,506,10,6
,036 E BRANDYWINE N-2,1115,831,15,8
,635 TREDYFFRIN W-2,1419,750,19,7
,640 TREDYFFRIN W-3,554,287,7,3
,645 TREDYFFRIN W-4,609,224,9,5
,647 TREDYFFRIN W-5,1652,756,21,19
,653 UWCHLAN 1,560,391,6,2
,654 UWCHLAN 2,1074,523,17,3
,655 UWCHLAN 3,500,309,10,5
,656 UWCHLAN 4,423,221,8,4
,657 UWCHLAN 5,771,480,14,4
,658 UWCHLAN 6,1780,1107,28,7
,038 E BRANDYWINE S,1454,1171,43,10
,659 UWCHLAN 7,1332,729,22,10
,660 UWCHLAN 8,537,345,5,3
,661 UWCHLAN 9,775,434,20,9
,665 UPPER UWCHLAN 1,796,685,25,2
,666 UPPER UWCHLAN 2,1259,1041,23,2
,667 UPPER UWCHLAN 3,2244,1185,32,13
,670 VALLEY N-1,671,388,20,2
,671 VALLEY N-2,884,340,10,2
,672 VALLEY N-3,673,492,10,6
,675 VALLEY S,576,356,18,5
,040 W BRANDYWINE E-1,802,815,13,3
,680 E VINCENT 1,517,425,14,5
,681 E VINCENT 2,646,449,15,2
,682 E VINCENT 3,672,581,28,3
,683 E VINCENT 4,476,538,10,4
,690 W VINCENT 1,1202,979,28,13
,693 W VINCENT 2,1009,804,17,5
,695 WALLACE,1121,1208,35,11
,700 WARWICK E,491,545,12,3
,705 WARWICK W,265,421,7,0
,710 WEST GROVE 1,388,248,11,1
,041 W BRANDYWINE E-2,759,839,15,1
,715 WEST GROVE 2,299,178,10,2
,720 WESTTOWN 1,897,727,22,6
,725 WESTTOWN 2,840,698,14,10
,730 WESTTOWN 3,1119,876,9,3
,733 WESTTOWN 4,642,578,14,6
,734 WESTTOWN 5,460,447,7,4
,735 E WHITELAND 1,510,238,5,4
,740 E WHITELAND 2,1139,583,14,3
,745 E WHITELAND 3,677,355,6,5
,750 E WHITELAND 4,740,468,21,9
,043 W BRANDYWINE W,566,804,14,5
,752 E WHITELAND 5,309,189,3,0
,754 E WHITELAND 6,1111,562,14,11
,759 W WHITELAND 1,904,548,18,4
,760 W WHITELAND 2,1039,505,20,10
,761 W WHITELAND 3,415,282,8,0
,762 W WHITELAND 4,1684,688,27,11
,763 W WHITELAND 5,1049,597,23,6
,764 W WHITELAND 6,1657,1083,26,25
,765 W WHITELAND 7,772,366,18,6
,770 WILLISTOWN N-1,569,446,5,4
,045 CALN 1,600,436,14,4
,775 WILLISTOWN N-2,373,284,3,3
,780 WILLISTOWN N-3,647,527,11,0
,785 WILLISTOWN N-4,508,281,14,4
,790 WILLISTOWN N-5,497,301,16,2
,795 WILLISTOWN N-6,319,111,5,3
,800 WILLISTOWN S-1,568,502,12,2
,805 WILLISTOWN S-2,315,275,4,3
,806 WILLISTOWN S-3,758,638,10,7
,810 WEST CHESTER 1,1266,475,33,1
,820 WEST CHESTER 2-E,352,99,4,1
,050 CALN 2,824,340,15,3
,825 WEST CHESTER 2-W,499,149,15,3
,835 WEST CHESTER 3,832,264,15,2
,842 WEST CHESTER 4,406,130,11,6
,846 WEST CHESTER 5,472,178,7,5
,850 WEST CHESTER 6,912,287,26,8
,860 WEST CHESTER 7,1041,298,22,5
,053 CALN 3,2044,1329,54,11
,054 CALN 4,1602,801,32,4
,055 EAST CALN 1,1102,625,21,8
,005 ATGLEN,324,361,9,0
,056 EAST CALN 2,690,331,11,1
,060 W CALN 1,952,1336,20,3
,061 W CALN 2,1026,1606,22,8
,065 CHARLESTOWN,2369,1452,49,10
,070 COATESVILLE 1,1060,269,8,2
,080 COATESVILLE 2,855,84,7,1
,090 COATESVILLE 3,591,67,3,4
,TOTALS,179065,126844,3515,1226
