id,district,votes
010101,Allentown 1st Ward 1st District,517
010201,Allentown 2nd Ward 1st District,444
010301,Allentown 3rd Ward 1st District,522
010401,Allentown 4th Ward 1st District,316
010501,Allentown 5th Ward 1st District,426
010601,Allentown 6th Ward 1st District,239
010602,Allentown 6th Ward 2nd District,384
010701,Allentown 7th Ward,624
010801,Allentown 8th Ward 1st District,229
010802,Allentown 8th Ward 2nd District,294
010803,Allentown 8th Ward 3rd District,457
010804,Allentown 8th Ward 4th District,588
010805,Allentown 8th Ward 5th District,264
010806,Allentown 8th Ward 6th District,366
010807,Allentown 8th Ward 7th District,432
010901,Allentown 9th Ward 1st District,490
011001,Allentown 10th Ward 1st District,566
011003,Allentown 10th Ward 3rd District,371
011004,Allentown 10th Ward 4th District,408
011101,Allentown 11th Ward 1st District,355
011102,Allentown 11th Ward 2nd District,428
011103,Allentown 11th Ward 3rd District,448
011104,Allentown 11th Ward 4th District,782
011105,Allentown 11th Ward 5th District,378
011106,Allentown 11th Ward 6th District,603
011107,Allentown 11th Ward 7th District,438
011201,Allentown 12th Ward 1st District,480
011202,Allentown 12th Ward 2nd District,599
011203,Allentown 12th Ward 3rd District,417
011204,Allentown 12th Ward 4th District,403
011205,Allentown 12th Ward 5th District,478
011301,Allentown 13th Ward 1st District,464
011302,Allentown 13th Ward 2nd District,350
011303,Allentown 13th Ward 3rd District,423
011304,Allentown 13th Ward 4th District,329
011401,Allentown 14th Ward 1st District,702
011402,Allentown 14th Ward 2nd District,783
011501,Allentown 15th Ward 1st District,481
011502,Allentown 15th Ward 2nd District,650
011503,Allentown 15th Ward 3rd District,687
011504,Allentown 15th Ward 4th District,473
011601,Allentown 16th Ward 1st District,570
011602,Allentown 16th Ward 2nd District,794
011701,Allentown 17th Ward 1st District,434
011702,Allentown 17th Ward 2nd District,467
011703,Allentown 17th Ward 3rd District,488
011704,Allentown 17th Ward 4th District,355
011704P,Allentown 17th Ward 4th District Parkland,969
011801,Allentown 18th Ward 1st District,491
011802,Allentown 18th Ward 2nd District,593
011901,Allentown 19th Ward 1st District,350
011902,Allentown 19th Ward 2nd District,658
011903,Allentown 19th Ward 3rd District,337
011904,Allentown 19th Ward 4th District,487
011905,Allentown 19th Ward 5th District,522
011906,Allentown 19th Ward 6th District,908
021001,Bethlehem 10th Ward 1st District,570
021101,Bethlehem 11th Ward 1st District,396
021201,Bethlehem 12th Ward 1st District,427
021202,Bethlehem 12th Ward 2nd District,461
021301,Bethlehem 13th Ward 1st District,783
021302,Bethlehem 13th Ward 2nd District,484
021303,Bethlehem 13th Ward 3rd District,591
021304,Bethlehem 13th Ward 4th District,636
021305,Bethlehem 13th Ward 5th District,504
021306,Bethlehem 13th Ward 6th District,390
